name;seite;satz_nummer;key;satz
Bayer AG2009_SR;1;2;aktualisiert; die anliegen unserer stakehol-der bilden die grundlage unserer berichterstattung und unserer nachhaltigkeitsstrategie, die wir 2009 aktualisiert haben
Bayer AG2009_SR;1;33;ändern; wir möchten frauen in entwick-lungs- und schwellenländern dabei unterstützen, ein selbstbestimmtes leben zu führen
Bayer AG2009_SR;1;89;ändern; 69)  online-datenbank globesmart zu umgangsformen und gebräuchen in anderen ländern (s
Bayer AG2009_SR;1;100;aktualisiert; 22, 52)  „bayrisk“ verfahrensanleitung aktualisiert (s
Bayer AG2009_SR;2;2;aktualisiert; die anliegen unserer stakehol-der bilden die grundlage unserer berichterstattung und unserer nachhaltigkeitsstrategie, die wir 2009 aktualisiert haben
Bayer AG2009_SR;2;33;ändern; wir möchten frauen in entwick-lungs- und schwellenländern dabei unterstützen, ein selbstbestimmtes leben zu führen
Bayer AG2009_SR;2;89;ändern; 69)  online-datenbank globesmart zu umgangsformen und gebräuchen in anderen ländern (s
Bayer AG2009_SR;2;100;aktualisiert; 22, 52)  „bayrisk“ verfahrensanleitung aktualisiert (s
Bayer AG2009_SR;3;100;bereinigt;359 -20,9ergebnis je aktie (€)3 2,22 1,70 -23,4bereinigtes ergebnis je aktie (€)4 4,17 3,64 -12,7brutto-cashfl ow5 5
Bayer AG2009_SR;3;139;bereinigt; das ebitda, das um sondereinfl üsse bereinigte ebitda sowie die bereinigte ebitda-marge stellen kennzahlen dar, die nach den internationalen rechnungslegungsvorschriften nicht defi niert sind
Bayer AG2009_SR;3;141;bereinigt; das unternehmen geht davon aus, dass das bereinigte ebitda eine geeignetere kennzahl für die beurteilung der operativen geschäftstätigkeit darstellt, da es weder durch abschreibungen auf immaterielle vermögenswerte und sachanlagen noch durch sondereinfl üsse belastet ist
Bayer AG2009_SR;3;143;bereinigt; die bereinigte ebitda-marge berechnet sich aus der division vom bereinigten ebitda und den umsatzerlösen
Bayer AG2009_SR;3;146;bereinigt;4  das bereinigte ergebnis je aktie stellt eine kennzahl dar, die nach den internationalen rechnungslegungsvorschriften nicht defi niert ist
Bayer AG2009_SR;3;473;überarbeitet; seit 1994 orientiert sich das unternehmen zur kontinuierlichen verbesserung in den bereichen gesundheit, sicherheit und umwelt an der freiwilligen responsible-care-initiative der chemisch-pharma-zeutischen industrie sowie ihrer 2006 überarbeiteten global charter
Bayer AG2009_SR;3;484;verbessern; ziel des teilkonzerns ist es, innovative produkte zu erforschen, zu entwickeln, zu produzieren und zu vertreiben, um die gesundheit von mensch und tier weltweit zu verbessern
Bayer AG2009_SR;4;100;bereinigt;359 -20,9ergebnis je aktie (€)3 2,22 1,70 -23,4bereinigtes ergebnis je aktie (€)4 4,17 3,64 -12,7brutto-cashfl ow5 5
Bayer AG2009_SR;4;139;bereinigt; das ebitda, das um sondereinfl üsse bereinigte ebitda sowie die bereinigte ebitda-marge stellen kennzahlen dar, die nach den internationalen rechnungslegungsvorschriften nicht defi niert sind
Bayer AG2009_SR;4;141;bereinigt; das unternehmen geht davon aus, dass das bereinigte ebitda eine geeignetere kennzahl für die beurteilung der operativen geschäftstätigkeit darstellt, da es weder durch abschreibungen auf immaterielle vermögenswerte und sachanlagen noch durch sondereinfl üsse belastet ist
Bayer AG2009_SR;4;143;bereinigt; die bereinigte ebitda-marge berechnet sich aus der division vom bereinigten ebitda und den umsatzerlösen
Bayer AG2009_SR;4;146;bereinigt;4  das bereinigte ergebnis je aktie stellt eine kennzahl dar, die nach den internationalen rechnungslegungsvorschriften nicht defi niert ist
Bayer AG2009_SR;4;473;überarbeitet; seit 1994 orientiert sich das unternehmen zur kontinuierlichen verbesserung in den bereichen gesundheit, sicherheit und umwelt an der freiwilligen responsible-care-initiative der chemisch-pharma-zeutischen industrie sowie ihrer 2006 überarbeiteten global charter
Bayer AG2009_SR;4;484;verbessern; ziel des teilkonzerns ist es, innovative produkte zu erforschen, zu entwickeln, zu produzieren und zu vertreiben, um die gesundheit von mensch und tier weltweit zu verbessern
Bayer AG2009_SR;5;9;verbessern; sie dienen dazu, die qualität von nahrungs-mitteln zu verbessern und für eine ausreichende ernährung der weltbevölkerung zu sorgen
Bayer AG2009_SR;5;16;ändern; es gilt, den unternehmenswert nachhaltig zu steigern und eine hohe wertschöpfung zu erwirtschaften – im interesse unserer aktionäre, unserer mitarbeiterinnen und  mitarbeiter und der gesamten gesellschaft in allen ländern, in denen wir tätig sind
Bayer AG2009_SR;7;1;ändern;allianzen für gesundheit    30das bevölkerungswachstum in entwicklungs- und schwellen-ländern zu steuern sowie die tropischen und vernachlässigten krankheiten in diesen ländern einzudämmen, sind die hauptziele unserer „allianzen für gesund-heit“ – neben maßnahmen für einen gerechten zugang zu medi-kamenten weltweit
Bayer AG2009_SR;7;2;ändern;   partnerschaften für  gute ernten    36 der bedarf an nahrungsmitteln wächst und die konsumge-wohnheiten ändern sich: mit nachhaltigen lösungen von der aussaat bis zur ernte und in partnerschaft mit den bauern sowie weiteren akteuren der gesamten nahrungsmittelkette arbeiten wir für „hochwertige nahrungsmittel für alle“
Bayer AG2009_SR;10;23;verbessern;) und angelo marazia von bayer cropscience, die qualität in den traubenplanta-gen zu verbessern
Bayer AG2009_SR;11;8;ändern; das medikament ist bereits in mehr als 90 ländern zur behandlung von leberkrebs und für die nierenkrebs-therapie zugelassen
Bayer AG2009_SR;11;11;verbessert; die zugabe von baytubes® verbessert die mechanische stabilität und die antistatischen eigenschaften von polymeren
Bayer AG2009_SR;12;7;ändern; wolfgang plischke präsentierten das nachhaltigkeitsprogramm auf einer pressekonferenz im november 2009 vor rund 120 journalisten aus 35 ländern in leverkusen
Bayer AG2009_SR;12;12;verbessern; ziel ist es, mit innovativen materialien die auslegung, herstellung und anwendung medizintechnischer produkte zu verbessern
Bayer AG2009_SR;16;9;ändern; gleichzeitig wollen wir werte schaffen durch in-novation, wachstum und eine hohe ertragskraft – im interesse unserer aktionäre, unserer mitarbeiter und der gesamten gesellschaft in allen ländern der erde, in denen wir tätig sind
Bayer AG2009_SR;16;11;bereinigt; mit einem um sondereinfl üsse bereinigten ebitda von 6,5 milliarden euro erzielten wir den dritthöchsten wert der unternehmensgeschichte
Bayer AG2009_SR;16;33;ändern; aus den übrigen ländern stammen 0,26 prozent der anleger
Bayer AG2009_SR;18;10;bereinigt; die zielerreichung der teilkonzerne ist im wesentlichen gekoppelt an die plan-erreichung in bezug auf das um sondereinfl üsse bereinigte ebitda
Bayer AG2009_SR;18;16;geändert; april 2005 nicht mehr geändert wurden
Bayer AG2009_SR;18;37;ändern; 72 pro-zent (2008: 74 prozent) unserer mitarbeiter in ländern tätig, die zur organisation für wirtschaftliche zusammenarbeit und entwicklung (oecd) gehören
Bayer AG2009_SR;20;29;verbessert; um das ange-bot an nahrungsmitteln weltweit lang-fristig zu sichern, muss die produktivität von pfl anzen verbessert werden
Bayer AG2009_SR;20;40;verbessern; dazu investieren wir kontinuierlich in  die entdeckung und weiterentwicklung von produkten, die für die menschen und die gesellschaft weltweit von nutzen sind und die lebensqualität verbessern
Bayer AG2009_SR;20;44;ändern; darüber hinaus treten wir dafür ein, barrieren abzubauen, die menschen in entwicklungsländern den zugang zu arzneimitteln versperren
