,Company,Year,ISIN,SR,NFE,Date SRNFE,Date AR,ReportSize SRNFE,ReportSentence SRNFE,ReportWords SRNFE,GRI,Keywords,KeywordsClean,SentenceRestatement,ReportSize AR,ReportSentence AR,ReportWords AR,pfad
0,gksoftware,2017,fehlt,1,0,32.40.8102,32.40.8102,25,584,3498,1,zahl.*anpass,zahl anpass,"periodisch werden ausgewählte kennzahlen durch den vorstand überprüft,welchediegrundlagefürmaßnahmenundanpassungenderzielebilden",25,580,3498,C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Beschädigte Berichte\GkSoftware2017_SR.pdf
1,gksoftware,2017,fehlt,1,0,32.40.8102,32.40.8102,25,584,3498,1,vorjahr.*zahl,vorjahr zahl,"ein vergleich mit dem vorjahr ist nicht möglich,dasowohldieanzahldergebäude,derangemietetenbürosunddergenutztenarbeits-plätze gestiegen ist",25,580,3498,C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Beschädigte Berichte\GkSoftware2017_SR.pdf
2,gksoftware,2017,fehlt,1,0,32.40.8102,32.40.8102,25,584,3498,1,zahl.*vorjahr,zahl vorjahr,"daimlaufedesjahres2017mehrereneuestandortebezogenoderausgebautwordensindunddamitkeinevergleichzahlenfürdievorjahrevorliegen,istesgegenwärtignichtmöglich,eineziel-vorgabe für die verringerung des ressourcenverbrauchs im jahr 2018 zu erstellen",25,580,3498,C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Beschädigte Berichte\GkSoftware2017_SR.pdf
3,kws,2008,DE0007074007,1,0,02.11.8002,92.01.5102,55,2180,18443,1,zahl.*vorjahr,zahl vorjahr,vermeidung von arbeitsunfällen als ständigeherausforderungim berichtszeitraum hat sich die anzahl der meldepflichtigen arbeitsunfälle im vergleich zum vorjahr nicht wesentlich verändert,55,1651,7640,C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Beschädigte Berichte\KWS2008_SR.pdf
4,kws,2008,DE0007074007,1,0,02.11.8002,92.01.5102,55,2180,18443,1,bereinig.*bericht,bereinig bericht,durch eine bestands-bereinigung sind diese im berichtszeitraum um 35 % von 122 t (geschäftsjahr 2006/2007) auf 189 t (geschäftsjahr 2007/2008) angestiegen,55,1651,7640,C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Beschädigte Berichte\KWS2008_SR.pdf
5,kws,2010,DE0007074007,1,0,72.01.0102,22.01.0102,30,2666,19677,1,method.*angepasst,method angepasst,"die züchtungsarbeit an den pflanzen verläuft in abhängig-keit von der befruchtungsart (selbstbestäubung oder fremdbestäubung) nach definierten methoden, die regel-mäßig an neueste wissenschaftliche und technische er-kenntnisse angepasst werden",30,1959,8758,C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Beschädigte Berichte\KWS2010_SR.pdf
6,kws,2012,DE0007074007,1,0,90.11.2102,50.11.2102,34,7399,21179,1,vorjahr.*vorjahr,vorjahr vorjahr,erfolge in der entsorgungswirtschaft• reduktiondergefährlichenabfallmengenum11%zumvorjahr• reduktionderhausmüllähnlichengewerbeabfallmengenum14%zumvorjahr,34,4363,26284,C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Beschädigte Berichte\KWS2012_SR.pdf
7,kws,2012,DE0007074007,1,0,90.11.2102,50.11.2102,34,7399,21179,1,wert.*vorjahr,wert vorjahr,"€ (vorjahreswerte in klammern), was einer steigerung von 11,5 % gegenüber dem vorjahr entspricht",34,4363,26284,C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Beschädigte Berichte\KWS2012_SR.pdf
8,kws,2012,DE0007074007,1,0,90.11.2102,50.11.2102,34,7399,21179,1,standard.*anpass,standard anpass,"zu diesen standardmerkmalen werden weitere hinzukommen, um eine bessere anpassung von maispflanzen an bestimmte standortbedingungen zu ermöglichen",34,4363,26284,C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Beschädigte Berichte\KWS2012_SR.pdf
9,kws,2012,DE0007074007,1,0,90.11.2102,50.11.2102,34,7399,21179,1,zahl.*vorjahr,zahl vorjahr,alle in diesem abschnitt genannten zahlen haben sich im vergleich zum vorjahr nicht wesentlich verändert,34,4363,26284,C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Beschädigte Berichte\KWS2012_SR.pdf
