unternehmen;anzahl_restatements
heidelberg.druckma;6
hamburg.hafen u. log. a-sp;70
gerryweber;0
gksoftware;10
ivu;1
kws;65
leifheit;23
telefonica;68
vonovia;120
schaeffler;135
adesso;10
adler modemärkte;38
adler real estate;2
alba;3
all for one steep;0
amadeus fire;6
audi;15
bertrandt;40
bhs tabletop;37
bijou brigitte;0
biotest;2
bvb (borussia dortmund);15
cenit;1
cewe;59
deutsche wohnen;111
dic asset;10
dr hönle;2
eckert & ziegler strahlen- und medizintechnik;0
einhell germany;0
francotyp-postalia;47
gea;37
gesco;2
grammer;1
grenke;3
hamborner;14
hanse_yachts;1
hawesko;8
hornbach;36
indus;426
init;12
jenoptik;0
jungheinrich;0
k+s.;0
kap;1
kion;40
klöckner.;0
krones;26
kuka;22
lanxess;50
leg;7
leoni;14
lufthansa;224
linde;58
lpkf;4
mainova;13
manz;2
man;54
masterflex;4
maternus;2
merck;213
metro;16
mlp;2
morphosys;2
mtu;34
müller;7
nemetschek;4
nexus;5
nordex;118
norma;13
nürnberger;8
odeon;1
osram;45
paragon;0
pbb;6
pfeiffer vacuum;8
pironet;1
porsche;144
prakitker;0
progress-werk oberkirch;34
prosieben;52
psi;0
puma;147
qiagen;0
qsc;0
r stahl;26
rational;50
rheinmetall;928
rib;0
rocket;0
rtl;0
rwe;70
salgitter;0
sap;0
sartorius;0
schumag;0
scout24;30
sgl;8
shw;0
siemens;180
siltronic;80
sky_bigger_picture_performance;0
sma;8
snp schneider-neureither & partner;6
software;22
solarworld;0
stada;0
steinhoff;0
stratec;13
stroeer;4
suedzucker;0
suess;3
surteco group;24
symrise;68
südzucker;0
tag;69
takkt;10
talanx;77
tognum;0
tui;3
uniper;24
uzin utz;14
verallia;5
villeroy & boch;96
vossloh;0
vtg;0
vw;45
wacker;44
wasgau produktions & handels;30
washtech;5
westag & getalit;2
wincor;8
wüstenrot & wüttembergische;8
xing;34
zalando;14
1+1 drillisch;24
a.springer;46
adidas;37
adva;17
airbus;0
fielmann;38
aurubis;46
basf;981
bayer;1255
bechtle;32
beiersdorf;63
bilfinger berger;63
bmw;171
brenntag;18
cancom;3
carl zeiss;25
ceconomy;4
celesio (mckesson europe);0
compugroup medical;1
continental;279
covestro;51
cts eventim kgaa;10
daimler;84
delivery hero;4
deutsche post;214
dmg mori;17
draegerwerk vzo;20
dt_telekom;383
duerr;15
e.on;210
elringklinger;25
euromicron;11
evonik industries;413
evotec;2
fraport ffm airport;0
fuchs petrol.;6
gft technologies;1
gft_gri_index_;0
gigaset;147
heidelbergcement;42
henkel_co.kgaa;0
hochtief;10
hugo boss;83
infineon tech.ag;24
innogy inh;0
ahlers;21
aixtron;7
all for one steeb;2
bauer;5
bay.motoren werke;32
baywa;28
bvb;29
celesio;6
centrotec sustainable;10
cewe stiftung &;28
compugroup med.ag;0
deutz;9
dt.telekom;26
encavis;0
firstnsor;0
fraport ffm.airport;0
fresen.med.care kgaa;10
fresenius;14
fuchs petrol.ag;3
gea group;24
gelsenwasser;6
gk software;3
hamburg.hafen u.log.a-sp;21
hanseyachts;5
henkel+co.kgaa;0
init innovation in traffic systems;7
isra vision;0
ivu traffic;1
khd humboldt wedag international;10
kion group;40
kloeckner + co;3
kps;1
kws saat;5
ludwig beck am rathauseck - textilhaus feldmeier;0
manz automation;2
maternus-kliniken;2
max automation;0
mediclin;3
merck kgaa;57
mtu aero engines;15
müller - die lila logistik;4
norma group;13
ohb;1
orbis;1
osram licht;45
paragon gmbh &;0
prosiebensat.1 media;33
pva tepla;1
s+t;17
salzgitter;3
schweizer electronic;5
sgl carbon;8
sma solar technol.ag;6
sto;1
suess microtec;3
telefonica dtld hldg;34
uniper  na;0
usu software;9
utd.internet;32
verallia deutschland;5
verbio vereinigte bioenergie;9
volkswagen;24
wacker chemie;26
wacker neuson;12
washtec;5
zooplus;1
